Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_multistate_run4.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1840406959
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_multistate_run4.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	2
	TVarNode	5	Sheep Goat Cow Buffalo Pronghorn 
	TRecNode	4	Porpoise Dolphin FKWhale Whale 
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 10.00 
        qGD - exp 10.00 
Node reconstruction / fossilisation:
	Node VarNode TVarNode
	Node RecNode TRecNode
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	VarNode P(D)	VarNode P(G)	RecNode P(D)	RecNode P(G)	
188000	-8.216284	480	8.002794	1.612674	0.430158	0.569842	0.998946	0.001054	0.005094	0.994906	
189000	-7.873658	500	1.457029	6.262477	0.015321	0.984679	--	--	0.000981	0.999019	
190000	-7.957289	181	7.572569	12.497654	0.247836	0.752164	0.818056	0.181944	0.024453	0.975547	
191000	-7.513344	270	9.293956	5.493640	0.331390	0.668610	--	--	0.011510	0.988490	
192000	-7.931364	391	6.400565	8.049208	0.348222	0.651778	0.984392	0.015608	0.020951	0.979049	
193000	-9.336073	210	0.547094	1.748812	0.006390	0.993610	--	--	0.000408	0.999592	
194000	-8.433943	161	9.709243	2.858847	0.403090	0.596910	--	--	0.046702	0.953298	
195000	-8.051763	3	6.133660	3.016384	0.217477	0.782523	0.987412	0.012588	0.007660	0.992340	
196000	-7.691386	3	7.594344	8.509911	0.241513	0.758487	0.930769	0.069231	0.012559	0.987441	
197000	-7.822546	453	5.947339	2.877993	0.207804	0.792196	0.940993	0.059007	0.011050	0.988950	
198000	-8.251086	92	1.620070	4.135912	0.008193	0.991807	0.977774	0.022226	0.002277	0.997723	
199000	-7.499970	405	4.084174	4.459855	0.142349	0.857651	0.982036	0.017964	0.011162	0.988838	
200000	-8.373213	196	1.814419	4.518177	0.020277	0.979723	--	--	0.000926	0.999074	
201000	-8.669479	410	5.337911	13.691014	0.306168	0.693832	--	--	0.008354	0.991646	
202000	-7.207200	295	4.144186	3.242890	0.075617	0.924383	0.715475	0.284525	0.005096	0.994904	
203000	-8.345366	311	5.678381	4.986147	0.225582	0.774418	0.643594	0.356406	0.010800	0.989200	
204000	-7.580622	349	8.953847	9.448450	0.282991	0.717009	0.967810	0.032190	0.024526	0.975474	
205000	-7.660317	178	6.623993	10.749772	0.305621	0.694379	0.871287	0.128713	0.011278	0.988722	
