Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl_multistate_run2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1107730964
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      20005000
Burn in:                         5000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl_multistate_run2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	2
	TVarNode	5	Sheep Goat Cow Buffalo Pronghorn 
	TRecNode	4	Porpoise Dolphin FKWhale Whale 
Restrictions:
    qDG                          None
    qGD                          None
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 10.00 
        qGD - exp 10.00 
Node reconstruction / fossilisation:
	Node VarNode TVarNode
	Node RecNode TRecNode
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	VarNode P(D)	VarNode P(G)	RecNode P(D)	RecNode P(G)	
193000	-8.181630	324	8.443991	3.708959	0.441196	0.558804	0.836030	0.163970	0.034294	0.965706	
194000	-9.166853	44	16.310991	11.319996	0.414777	0.585223	0.634857	0.365143	0.089746	0.910254	
195000	-9.530340	204	2.826108	1.895333	0.061562	0.938438	--	--	0.002450	0.997550	
196000	-8.532306	232	6.342921	14.188281	0.265687	0.734313	0.879700	0.120300	0.041904	0.958096	
197000	-8.205677	195	6.464551	1.943202	0.207896	0.792104	--	--	0.021612	0.978388	
198000	-7.720516	302	3.293805	6.710663	0.065725	0.934275	--	--	0.002139	0.997861	
199000	-7.820380	200	7.734122	10.214612	0.276357	0.723643	0.956888	0.043112	0.010363	0.989637	
200000	-7.715765	389	3.890487	7.158383	0.053746	0.946254	0.969649	0.030351	0.003026	0.996974	
201000	-8.786411	147	1.177261	7.412572	0.013728	0.986272	0.930945	0.069055	0.000260	0.999740	
202000	-8.565160	405	6.173307	0.515573	0.696380	0.303620	0.999798	0.000202	0.022282	0.977718	
203000	-7.846000	23	5.622655	5.941778	0.306191	0.693809	--	--	0.008286	0.991714	
204000	-7.657538	471	6.039349	7.415771	0.152459	0.847541	0.940564	0.059436	0.026382	0.973618	
205000	-7.724327	420	4.895391	3.524796	0.157586	0.842414	0.988619	0.011381	0.011970	0.988030	
206000	-7.869725	493	5.635092	1.802038	0.258581	0.741419	0.992907	0.007093	0.019389	0.980611	
207000	-9.983351	163	21.339042	5.966253	0.463308	0.536692	--	--	0.096381	0.903619	
208000	-8.136614	66	5.599193	1.862005	0.167753	0.832247	0.996441	0.003559	0.013680	0.986320	
209000	-8.178874	147	15.424823	6.338430	0.436890	0.563110	0.989887	0.010113	0.037123	0.962877	
210000	-9.592327	201	11.030340	26.551492	0.427906	0.572094	0.536714	0.463286	0.088555	0.911445	
211000	-7.928458	438	9.801651	10.010060	0.324808	0.675192	0.753558	0.246442	0.032238	0.967762	
