Default schedule
Rate	71.43
CV	28.57
Rate Tried	% Accepted	CV Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
434	0.225806	166	0.530120	0.814570	600	0.310000	0.310000	0.276005	
508	0.236220	192	0.510417	0.814570	700	0.311429	0.311429	0.276199	
584	0.236301	216	0.500000	0.814570	800	0.307500	0.307500	0.276216	
656	0.237805	244	0.512295	0.814570	900	0.312222	0.312222	0.276538	
729	0.229081	271	0.494465	0.814570	1000	0.301000	0.301000	0.276205	
77	0.207792	23	0.347826	0.814570	100	0.240000	0.240000	0.276049	
156	0.301282	44	0.386364	0.814570	200	0.320000	0.320000	0.276583	
226	0.252212	74	0.418919	0.814570	300	0.293333	0.293333	0.276426	
294	0.231293	106	0.490566	0.814570	400	0.300000	0.300000	0.276612	
359	0.233983	141	0.482270	0.814570	500	0.304000	0.304000	0.276797	
426	0.251174	174	0.482759	0.814570	600	0.318333	0.318333	0.277276	
496	0.276210	204	0.465686	0.814570	700	0.331429	0.331429	0.277836	
570	0.280702	230	0.465217	0.814570	800	0.333750	0.333750	0.278140	
647	0.287481	253	0.458498	0.814570	900	0.335556	0.335556	0.278440	
716	0.293296	284	0.450704	0.814570	1000	0.338000	0.338000	0.278780	
72	0.138889	28	0.500000	0.814570	100	0.240000	0.240000	0.278619	
143	0.223776	57	0.508772	0.814570	200	0.305000	0.305000	0.278997	
215	0.246512	85	0.482353	0.814570	300	0.313333	0.313333	0.279207	
295	0.261017	105	0.514286	0.814570	400	0.327500	0.327500	0.279579	
371	0.261456	129	0.480620	0.814570	500	0.318000	0.318000	0.279580	
445	0.267416	155	0.509677	0.814570	600	0.330000	0.330000	0.280029	
513	0.267057	187	0.524064	0.814570	700	0.335714	0.335714	0.280394	
588	0.265306	212	0.504717	0.814570	800	0.328750	0.328750	0.280392	
656	0.274390	244	0.500000	0.814570	900	0.335556	0.335556	0.280832	
725	0.268966	275	0.509091	0.814570	1000	0.335000	0.335000	0.281029	
72	0.291667	28	0.321429	0.814570	100	0.300000	0.300000	0.281104	
145	0.324138	55	0.345455	0.814570	200	0.330000	0.330000	0.281417	
218	0.339450	82	0.304878	0.814570	300	0.330000	0.330000	0.281609	
291	0.323024	109	0.339450	0.814570	400	0.327500	0.327500	0.281761	
363	0.327824	137	0.328467	0.814570	500	0.328000	0.328000	0.281950	
436	0.314220	164	0.335366	0.814570	600	0.320000	0.320000	0.281942	
506	0.306324	194	0.365979	0.814570	700	0.322857	0.322857	0.282168	
571	0.304729	229	0.384279	0.814570	800	0.327500	0.327500	0.282470	
643	0.301711	257	0.377432	0.814570	900	0.323333	0.323333	0.282499	
710	0.302817	290	0.396552	0.814570	1000	0.330000	0.330000	0.282912	
73	0.356164	27	0.370370	0.814570	100	0.360000	0.360000	0.283208	
144	0.361111	56	0.464286	0.814570	200	0.390000	0.390000	0.283730	
209	0.363636	91	0.450549	0.814570	300	0.390000	0.390000	0.284134	
283	0.342756	117	0.444444	0.814570	400	0.372500	0.372500	0.284270	
356	0.351124	144	0.465278	0.814570	500	0.384000	0.384000	0.284819	
439	0.325740	161	0.459627	0.814570	600	0.361667	0.361667	0.284689	
512	0.312500	188	0.478723	0.814570	700	0.357143	0.357143	0.284858	
582	0.304124	218	0.509174	0.814570	800	0.360000	0.360000	0.285213	
655	0.309924	245	0.506122	0.814570	900	0.363333	0.363333	0.285603	
728	0.304945	272	0.500000	0.814570	1000	0.358000	0.358000	0.285693	
74	0.243243	26	0.576923	0.814570	100	0.330000	0.330000	0.285857	
157	0.267516	43	0.511628	0.814570	200	0.320000	0.320000	0.285945	
218	0.302752	82	0.512195	0.814570	300	0.360000	0.360000	0.286510	
289	0.290657	111	0.504505	0.814570	400	0.350000	0.350000	0.286632	
348	0.316092	152	0.513158	0.814570	500	0.376000	0.376000	0.287335	
418	0.315789	182	0.500000	0.814570	600	0.371667	0.371667	0.287562	
492	0.286585	208	0.500000	0.814570	700	0.350000	0.350000	0.287318	
560	0.285714	240	0.500000	0.814570	800	0.350000	0.350000	0.287544	
626	0.284345	274	0.485401	0.814570	900	0.345556	0.345556	0.287624	
696	0.271552	304	0.470395	0.814570	1000	0.332000	0.332000	0.287347	
77	0.233766	23	0.434783	0.814570	100	0.280000	0.280000	0.287321	
154	0.253247	46	0.413043	0.814570	200	0.290000	0.290000	0.287366	
231	0.255411	69	0.463768	0.814570	300	0.303333	0.303333	0.287516	
298	0.265101	102	0.470588	0.814570	400	0.317500	0.317500	0.287772	
377	0.254642	123	0.487805	0.814570	500	0.312000	0.312000	0.287779	
446	0.253363	154	0.487013	0.814570	600	0.313333	0.313333	0.287892	
518	0.266409	182	0.478022	0.814570	700	0.321429	0.321429	0.288178	
589	0.252971	211	0.478673	0.814570	800	0.312500	0.312500	0.288046	
657	0.263318	243	0.481481	0.814570	900	0.322222	0.322222	0.288433	
724	0.263812	276	0.492754	0.814570	1000	0.327000	0.327000	0.288714	
73	0.273973	27	0.592593	0.814570	100	0.360000	0.360000	0.288959	
142	0.274648	58	0.517241	0.814570	200	0.345000	0.345000	0.289100	
213	0.267606	87	0.528736	0.814570	300	0.343333	0.343333	0.289273	
289	0.273356	111	0.522523	0.814570	400	0.342500	0.342500	0.289446	
356	0.272472	144	0.527778	0.814570	500	0.346000	0.346000	0.289685	
431	0.255220	169	0.520710	0.814570	600	0.330000	0.330000	0.289551	
497	0.265594	203	0.512315	0.814570	700	0.337143	0.337143	0.289856	
574	0.256098	226	0.491150	0.814570	800	0.322500	0.322500	0.289621	
643	0.253499	257	0.486381	0.814570	900	0.320000	0.320000	0.289656	
720	0.244444	280	0.496429	0.814570	1000	0.315000	0.315000	0.289590	
66	0.242424	34	0.441176	0.814570	100	0.310000	0.310000	0.289658	
145	0.296552	55	0.345455	0.814570	200	0.310000	0.310000	0.289726	
